n,t,p
996,51201,932.58
997,51253,932.59
998,51308,932.54
999,51359,932.54
1000,51411,932.55
1001,51463,932.55
1002,51515,932.52
1003,51566,932.54
1004,51618,932.59
1005,51670,932.58
1006,51725,932.58
1007,51775,932.57
1008,51826,932.61
1009,51877,932.55
1010,51930,932.57
1011,51981,932.57
1012,52032,932.58
1013,52083,932.57
1014,52135,932.58
1015,52187,932.62
1016,52239,932.56
1017,52290,932.58
1018,52341,932.57
1019,52393,932.57
1020,52445,932.61
1021,52496,932.61
1022,52548,932.66
1023,52599,932.58
1024,52651,932.58
1025,52703,932.59
1026,52758,932.61
1027,52809,932.64
1028,52861,932.57
1029,52913,932.59
1030,52964,932.57
1031,53016,932.57
1032,53067,932.56
1033,53118,932.53
1034,53174,932.57
1035,53225,932.59
1036,53277,932.54
1037,53328,932.61
1038,53381,932.63
1039,53432,932.59
1040,53484,932.57
1041,53536,932.60
1042,53587,932.60
1043,53640,932.57
1044,53691,932.62
1045,53742,932.60
1046,53794,932.61
1047,53847,932.65
1048,53898,932.58
1049,53950,932.60
1050,54001,932.63
1051,54053,932.64
1052,54105,932.59
1053,54157,932.58
1054,54212,932.63
1055,54263,932.62
1056,54316,932.57
1057,54368,932.62
1058,54419,932.64
1059,54471,932.61
1060,54522,932.59
1061,54574,932.61
1062,54626,932.61
1063,54681,932.54
1064,54731,932.54
1065,54782,932.60
1066,54834,932.59
1067,54886,932.64
1068,54937,932.61
1069,54988,932.61
1070,55041,932.58
1071,55093,932.59
1072,55144,932.55
1073,55195,932.56
1074,55247,932.61
1075,55299,932.61
1076,55350,932.54
1077,55402,932.54
1078,55453,932.57
1079,55505,932.62
1080,55557,932.64
1081,55608,932.58
1082,55664,932.57
1083,55715,932.64
1084,55767,932.64
1085,55819,932.61
1086,55871,932.61
1087,55922,932.60
1088,55974,932.66
1089,56026,932.59
1090,56078,932.65
1091,56132,932.61
1092,56182,932.64
1093,56233,932.57
1094,56285,932.61
1095,56336,932.54
1096,56387,932.62
1097,56436,932.60
1098,56485,932.58
1099,56535,932.60
1100,56584,932.60
1101,56633,932.60
1102,56682,932.62
1103,56731,932.61
1104,56780,932.58
1105,56828,932.62
1106,56878,932.60
1107,56927,932.59
1108,56975,932.61
1109,57024,932.60
1110,57077,932.57
1111,57127,932.57
1112,57177,932.61
1113,57226,932.57
1114,57274,932.57
1115,57323,932.57
1116,57372,932.59
1117,57421,932.57
1118,57470,932.62
1119,57519,932.61
1120,57573,932.59
1121,57624,932.56
1122,57675,932.57
1123,57726,932.59
1124,57779,932.57
1125,57830,932.57
1126,57882,932.59
1127,57933,932.60
1128,57982,932.59
1129,58033,932.56
1130,58083,932.58
1131,58134,932.55
1132,58185,932.57
1133,58237,932.56
1134,58288,932.55
1135,58338,932.60
1136,58388,932.61
1137,58440,932.59
1138,58496,932.61
1139,58547,932.60
1140,58599,932.60
1141,58650,932.55
1142,58702,932.64
1143,58754,932.60
1144,58805,932.60
1145,58857,932.54
1146,58908,932.59
1147,58959,932.58
1148,59015,932.58
1149,59067,932.52
1150,59118,932.53
1151,59170,932.60
1152,59222,932.61
1153,59274,932.60
1154,59325,932.57
1155,59377,932.62
1156,59428,932.58
1157,59481,932.62
1158,59533,932.55
1159,59584,932.59
1160,59636,932.60
1161,59687,932.61
1162,59739,932.56
1163,59791,932.60
1164,59843,932.59
1165,59894,932.61
1166,59950,932.64
1167,60002,932.64
1168,60053,932.63
1169,60103,932.60
1170,60154,932.60
1171,60206,932.63
1172,60258,932.63
1173,60309,932.63
1174,60361,932.58
1175,60412,932.63
1176,60464,932.61
1177,60509,932.61
1178,60559,932.60
1179,60608,932.61
1180,60657,932.55
1181,60706,932.60
1182,60755,932.61
1183,60805,932.64
1184,60854,932.62
1185,60902,932.63
1186,60951,932.62
1187,61000,932.59
1188,61049,932.54
1189,61099,932.58
1190,61148,932.60
1191,61197,932.64
1192,61246,932.62
1193,61295,932.60
1194,61344,932.60
1195,61399,932.60
1196,61450,932.63
1197,61502,932.64
1198,61552,932.63
1199,61603,932.62
1200,61656,932.62
1201,61707,932.55
1202,61758,932.61
1203,61809,932.63
1204,61861,932.58
1205,61916,932.59
1206,61968,932.64
1207,62019,932.61
1208,62070,932.60
1209,62121,932.66
1210,62174,932.61
1211,62225,932.60
1212,62276,932.63
1213,62328,932.61
1214,62380,932.63
1215,62432,932.60
1216,62483,932.62
1217,62534,932.61
1218,62585,932.61
1219,62637,932.61
1220,62689,932.64
1221,62740,932.63
1222,62792,932.60
1223,62848,932.62
1224,62899,932.60
1225,62950,932.63
1226,63001,932.63
1227,63052,932.62
1228,63105,932.61
1229,63156,932.59
1230,63207,932.61
1231,63259,932.60
1232,63310,932.60
1233,63365,932.59
1234,63417,932.65
1235,63468,932.63
1236,63520,932.59
1237,63571,932.61
1238,63624,932.61
1239,63675,932.61
1240,63727,932.62
1241,63778,932.61
1242,63831,932.55
1243,63882,932.59
1244,63934,932.63
1245,63985,932.60
1246,64037,932.61
1247,64089,932.58
1248,64141,932.63
1249,64192,932.62
1250,64244,932.59
1251,64300,932.63
1252,64351,932.61
1253,64403,932.59
1254,64454,932.60
1255,64506,932.64
1256,64558,932.61
1257,64610,932.64
1258,64661,932.63
1259,64713,932.60
1260,64764,932.57
1261,64817,932.61
1262,64871,932.57
1263,64921,932.55
1264,64972,932.59
1265,65024,932.56
1266,65076,932.59
1267,65127,932.57
1268,65178,932.55
1269,65230,932.56
1270,65282,932.60
1271,65334,932.55
1272,65385,932.60
1273,65436,932.59
1274,65487,932.59
1275,65540,932.59
1276,65591,932.55
1277,65642,932.57
1278,65694,932.59
1279,65750,932.58
1280,65801,932.54
1281,65852,932.60
1282,65904,932.60
1283,65955,932.57
1284,66008,932.62
1285,66060,932.59
1286,66111,932.61
1287,66163,932.61
1288,66214,932.60
1289,66267,932.56
1290,66321,932.58
1291,66371,932.63
1292,66422,932.58
1293,66475,932.62
1294,66526,932.57
1295,66577,932.62
1296,66629,932.60
1297,66680,932.59
1298,66732,932.62
1299,66784,932.59
1300,66835,932.61
1301,66886,932.66
1302,66938,932.62
1303,66990,932.60
1304,67041,932.59
1305,67093,932.58
1306,67144,932.55
1307,67200,932.60
1308,67252,932.60
1309,67304,932.59
1310,67355,932.60
1311,67407,932.60
1312,67459,932.57
1313,67510,932.58
1314,67562,932.60
1315,67613,932.60
1316,67665,932.61
1317,67718,932.61
1318,67769,932.60
1319,67824,932.57
1320,67875,932.60
1321,67927,932.61
1322,67978,932.58
1323,68029,932.59
1324,68081,932.61
1325,68132,932.62
1326,68184,932.60
1327,68235,932.62
1328,68286,932.62
1329,68338,932.60
1330,68389,932.59
1331,68441,932.55
1332,68492,932.58
1333,68543,932.59
1334,68595,932.61
1335,68649,932.58
1336,68701,932.56
1337,68752,932.54
1338,68804,932.58
1339,68854,932.63
